Blog	kids	catchy	therefore	absolute	travel	wrong	fit	songwriter	service	needed	feeling	mouth	singer	saying	rich	lots	nature	dave	split	golden	shadow	crowd	begin	bottom	role	roll	minute	working	originally	following	pulled	didn	seriously	internet	emotion	turned	west	wants	formed	photos	former	ascii	pull	small	past	hasn	full	november	experience	followed	door	company	learn	huge	scott	self	singles	sometimes	parents	couple	chorus	influence	train	baby	process	realized	perfect	realize	books	length	scene	festival	false	tonight	jam	tape	stuff	become	places	problem	compared	lately	details	worth	era	production	safe	l	daniel	electronic	john	dogs	runs	tone	apparently	hand	musical	thanks	born	concept	turns	guy	extra	kurt	ended	non	drop	yeah	tomorrow	caught	vocals	america	death	verse	gonna	exciting	start	stars	poor	month	streets	learned	tracks	inspired	put	almost	evening	heavy	american	grey	feels	culture	close	pictures	missing	forgotten	empty	lived	lives	match	grand	obviously	popular	lips	similar	e	wave	telling	michael	ryan	camera	meet	including	special	cause	times	tunes	tend	key	hits	tuesday	party	http	riff	lost	lose	school	north	star	stay	sorry	likely	men	met	fantastic	under	room	movies	amazing	third	personal	begins	ears	tiny	seven	yes	yet	save	deal	somehow	dear	magazine	journey	weekend	happening	father	round	filled	box	boy	bob	teenage	visit	making	fuck	interesting	speaking	performance	morning	miles	wonder	label	enough	across	august	tour	wake	adams	images	each	u	sitting	hour	remain	needs	acts	coming	beginning	valentine	point	century	cut	absolutely	epic	planet	entire	talent	later	closing	vibe	nobody	success	hair	happens	blue	leaves	excellent	drummer	alex	saturday	laid	bridge	mother	despite	hopefully	however	news	n	gave	stuck	setting	picture	clouds	impressive	level	posts	goes	figure	turn	surf	sure	jazz	guitar	quiet	featuring	direction	spirit	case	mood	moon	taste	list	sun	version	flat	rather	short	weight	hill	friday	story	store	king	kind	electric	traditional	wrote	solo	sold	sweet	kick	questions	range	andy	nick	nice	meaning	include	melodies	folk	leaving	holiday	edit	g	why	fear	feat	local	available	bought	opening	joy	job	joe	april	perhaps	difficult	press	rare	promise	volume	incredible	yellow	straight	successful	hurt	machine	keeps	wind	wasn	listen	released	copy	theme	unfortunately	fair	score	child	possible	possibly	unique	steps	happy	exist	team	current	bloody	winter	spot	date	future	twin	breath	industry	act	image	gone	andrew	original	section	hours	pick	action	keeping	beautiful	states	sense	information	week	missed	imagine	w	number	heads	relationship	grace	video	play	plan	cover	somewhat	set	sex	whole	community	synth	fire	funk	recent	makes	anything	link	line	sides	hello	results	sent	bird	led	doubt	animal	kiss	david	hope	edition	drum	co	cd	colour	moments	stage	sister	naturally	official	francisco	near	green	somewhere	brief	dj	de	dr	com	voice	rain	kept	fight	minor	physical	together	p	appears	change	december	means	remember	cold	half	hall	el	en	ep	space	shows	impossible	size	sheer	friend	mostly	ground	concert	comes	media	finish	touch	real	read	lady	recorded	died	trying	describe	moved	strong	ahead	musically	finally	fi	food	fully	neil	robert	since	bass	ask	jamie	towards	pretty	during	won	genre	liked	wait	else	anymore	used	march	run	seeing	himself
mattgarman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0
Lo importante es que estes tú bien	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	2	0	2	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	8	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	5	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	8	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	0	4	2	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	2	4	6	0	0	0	0	0	0	14	1	0	0	2	1	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	4	1	0	0	0	0	0	1	0	0	6	0	0	10	0	0	0	0	2	0	1	0	0	13	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	2	0	0	0	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	6	0	1	3	0	0	1	0	1	3	0	2	5	0	0	1	23	0	1	0	2	3	0	1	0	1	0	3	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0
Kid F	1	0	2	0	0	4	0	0	0	0	2	0	0	3	0	0	0	6	0	0	0	0	0	1	0	0	2	3	2	2	1	12	0	1	1	1	1	1	0	0	1	0	0	1	1	0	2	0	4	0	4	1	2	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	1	3	0	2	0	1	0	2	0	0	2	0	1	0	1	0	0	0	0	6	1	0	0	0	0	1	0	0	2	1	1	0	0	1	0	0	0	1	0	2	2	0	3	1	0	0	0	0	4	3	4	0	1	5	0	1	2	0	0	2	2	1	2	2	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	6	0	0	1	0	0	0	1	2	0	0	2	1	0	0	0	0	0	5	0	0	2	0	2	1	0	1	3	4	2	0	0	0	0	1	1	2	0	3	1	0	0	0	0	3	3	1	0	0	0	0	0	1	0	8	2	0	0	0	0	0	2	0	1	1	0	0	0	2	1	0	5	0	0	1	0	0	0	0	7	1	0	0	2	0	3	0	0	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	2	0	1	1	0	0	0	2	0	0	0	0	1	0	1	1	1	0	0	0	0	2	2	1	1	0	0	0	0	0	1	0	5	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	5	2	0	7	1	1	1	1	3	1	1	2	1	0	2	0	1	1	0	2	3	0	0	0	0	3	1	1	0	1	3	0	0	2	2	2	0	0	2	1	6	1	1	0	0	2	3	0	0	0	1	1	4	4	0	2	5	0	4	1	1	0	0	1	2	0	1	0	4	1	0	0	1	1	2	0	1	7	1	2	0	0	1	0	1	0	2	0	1	1	0	1	0	0	0	0	0	1	1	3	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	1	1	3	1	0	1	0	2	0	0	0	1	4	4	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	1	1	4	2	2	0	1	7	3	0	0	0	0	2	0	1	1	0	0	3	0	1	0	1	1	7	1	0	0	2	1	0	3	1	3	0	0
bittersweet	1	0	0	0	2	3	1	0	5	4	12	2	0	3	2	0	0	0	0	0	1	0	0	0	1	1	0	4	0	0	1	6	0	1	1	4	0	0	0	0	1	0	1	2	4	1	1	0	1	0	3	3	0	1	0	2	0	21	1	2	0	0	0	3	1	0	3	0	1	0	0	0	1	1	0	0	4	7	1	5	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	2	0	0	0	1	0	0	0	1	0	0	0	2	0	3	3	0	0	0	0	7	8	2	2	2	1	6	0	4	6	1	0	4	1	3	0	0	1	1	1	0	2	0	2	0	0	0	8	0	5	0	8	0	0	0	0	0	2	0	0	2	1	1	0	0	1	9	1	27	1	0	1	6	1	3	1	0	0	0	3	0	21	10	6	3	6	7	2	0	7	1	0	0	3	0	2	0	0	1	0	5	1	0	0	3	0	26	0	11	2	1	0	2	2	0	5	0	0	4	0	4	0	2	3	9	3	1	1	1	0	0	0	0	1	0	0	0	0	7	6	1	0	0	0	0	1	1	0	0	0	3	0	0	1	3	1	0	4	8	0	0	0	5	3	4	1	10	1	3	0	1	1	0	0	1	0	0	1	1	1	2	4	3	2	0	0	1	3	0	13	0	0	0	0	0	6	2	0	0	0	0	8	0	1	0	0	3	1	0	1	16	0	1	2	1	4	1	3	2	0	5	4	0	1	1	0	0	1	1	2	1	2	0	0	0	5	3	0	0	0	2	0	0	3	1	1	0	1	11	2	0	1	2	0	1	5	0	0	2	0	0	1	1	0	0	0	3	0	2	0	15	0	4	0	3	2	4	0	2	2	12	0	3	2	0	3	2	0	15	0	0	0	2	0	1	9	11	0	1	0	0	1	2	0	0	4	0	1	0	25	0	0	0	0	2	2	0	5	0	0	0	2	0	1	0	0	0	0	0	3	0	3	1	0	0	5	0	0	8	0	4	13	1	3	0	0	0	0	2	0	0	0	0	5	5	0	0	1	0	1	4	7	5	5	0	4	3	1	0	0	2	0	4	0	4	1	0	0	7	0	2	0	2	11	5	8	0	2	4	8	5	6	1	2	5	0
künstler treu	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	2	4	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	5	1	0	0	3	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	2	0	1	2	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	12	1	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
We Got Shit...A Pearl Jam Bootleg Site	6	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	3	2	2	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	2	15	0	0	3	0	0	0	2	0	0	0	0	0	3	3	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	1	0	0	0	9	0	6	3	0	0	0	0	2	0	0	1	4	0	0	0	0	5	0	0	0	0	3	0	0	2	0	3	0	0	5	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	5	0	0	0	1	0	0	0	0	0	3	1	0	4	10	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	4	0	5	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	1	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	5	8	9	0	0	0	0	5	0	0	1	4	0	1	2	0	5	0	0	1	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	14	8	0	0	0	0	0	1	0	3	0	0	0	1	0	1	0	0	0	0
sweeping the kitchen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
One Stunning Single Egg	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Room 19's Blog 2016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	1	0	0	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	0	0
Time Is Poetry	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	2	0	0	1	11	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	2	1	0	1	1	0	0	2	0	0	0	0	1	0	2	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	2	0	0	3	0	0	0	2	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	4	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	3	1	2	0	0	0	0	2	0	0	0	1	0	4	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	0	0	5	0	0	0	2	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	4	1	4	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	1	0	0	0	0	2	1	0
this time tomorrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A Wife's Tale	2	0	0	2	2	14	8	0	1	5	25	4	0	9	1	3	3	2	0	1	0	3	16	0	0	3	4	14	1	3	2	29	21	3	4	5	0	4	0	9	0	0	0	7	12	5	13	1	14	1	6	4	14	1	1	8	0	15	5	6	0	1	0	70	2	4	20	14	7	3	1	1	0	3	0	0	8	12	3	3	1	10	4	6	0	0	4	3	0	0	0	12	1	0	15	22	0	5	4	0	2	10	5	0	5	4	3	11	6	7	0	1	12	1	4	2	21	3	3	16	4	15	0	0	17	12	1	0	1	3	6	3	5	7	4	0	1	8	17	2	1	9	2	1	2	0	0	3	0	1	3	7	3	4	6	10	0	1	0	1	0	5	1	0	9	4	7	0	5	15	12	3	3	14	2	4	16	2	17	9	5	2	2	4	1	18	15	7	7	1	3	0	11	12	7	22	5	2	2	8	1	0	10	12	0	2	4	0	8	2	3	0	7	3	4	1	4	0	1	19	0	9	1	0	7	1	17	4	0	22	0	3	14	10	2	13	2	19	2	0	2	1	6	6	1	3	0	0	0	0	5	1	54	0	3	48	7	0	10	1	0	3	0	0	6	0	10	0	6	0	34	0	6	2	1	3	2	5	0	1	2	13	6	0	0	2	7	6	1	1	13	3	1	18	1	1	1	0	4	2	3	7	0	0	0	5	4	3	0	0	6	0	1	0	21	1	1	3	1	4	2	16	8	0	1	7	3	0	2	7	0	2	3	0	0	4	0	4	1	20	3	1	2	0	5	2	0	29	7	5	0	2	13	3	4	2	0	2	4	11	19	0	7	0	1	3	9	0	0	4	24	4	1	3	15	3	4	3	27	1	16	0	5	1	10	1	1	7	8	0	1	7	0	9	0	0	2	0	1	18	29	2	8	1	1	3	1	1	6	3	0	6	0	19	1	0	0	0	0	18	2	10	2	0	0	3	1	4	0	0	0	2	2	4	2	4	4	0	7	17	0	0	13	2	9	36	4	5	0	0	0	0	1	2	0	2	1	11	9	1	2	13	1	4	9	23	10	6	0	8	6	3	10	7	4	0	19	0	7	4	0	0	35	0	16	0	0	26	15	10	1	2	21	8	7	14	1	4	5	5
